,Latitude,Longitude,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,x_mercator,y_mercator
0,-38.05171524,145.11566069999998,1001,T20100030391,ABS to receive accident,Finished,31-07-2010,12.30.00,No,Collision with vehicle,Saturday,LEFT REAR,No,Day,No,T intersection,Serious injury accident,60,No,893,145.11566000000002,-38.05172,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2510151.785,2383277.748,3,2,0,1,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,KINGSTON,METROPOLITAN SOUTH EAST REGION,C,B,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undivided,Metro,-4235897.564327448,16154201.45525346
1,-37.5287819,145.4369936,1002,T20100030392,ABS to receive accident,Finished,31-07-2010,10.20.00,No,No collision and no object struck,Saturday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,T intersection,Serious injury accident,100,No,60668,145.43698999999998,-37.52878,Intersection,MURRINDINDI,NORTH EASTERN REGION,2538622.148,2441233.8430000003,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country,Country,"MURRINDINDI,MURRINDINDI",NORTH EASTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Country,-4177684.891199822,16189972.070056586
2,-38.54197722,143.9754071,1003,T20100030398,ABS to receive accident,Finished,31-07-2010,13.02.00,No,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Other injury accident,50,No,235067,143.97541,-38.54198,Non-Intersection,SURF COAST,SOUTH WESTERN REGION,2410656.747,2328377.19,2,2,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Other Towns,Other Towns,SURF COAST,SOUTH WESTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undivided,Country,-4290473.27829635,16027269.005126264
3,-37.73696653,145.00417140000002,1004,T20100030399,ABS to receive accident,Finished,31-07-2010,11.50.00,No,Collision with vehicle,Saturday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Serious injury accident,40,No,1096,145.00417,-37.73697,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2500367.66,2418218.255,3,1,0,1,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,1,No,0,3,0,2,1,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4200859.898202408,16141790.523148563
4,-37.62397351,144.93293490000002,1005,T20100030401,ABS to receive accident,Finished,31-07-2010,11.20.00,No,Struck animal,Saturday,STRUCK ANIMAL,No,Day,Yes,T intersection,Serious injury accident,70,No,57208,144.93293,-37.62397,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2494080.107,2430756.301,4,2,0,1,1,2,1,3,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,HUME,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undivided,Metro,-4188281.572752814,16133860.51224267
5,-38.42053789,145.9072719,1006,T20100030403,ABS to receive accident,Finished,31-07-2010,11.40.00,No,Vehicle overturned (no collision),Saturday,OFF CARRIAGEWAY ON LEFT BEND,No,Day,Yes,Not at intersection,Serious injury accident,100,Yes,235107,145.90726999999998,-38.42054,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2579241.826,2341963.285,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Country,Country,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undivided,Country,-4276954.713918474,16242323.210943714
6,-37.88265431,145.1101261,1007,T20100030405,ABS to receive accident,Finished,31-07-2010,11.00.00,No,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Cross intersection,Other injury accident,70,No,29662,145.11013,-37.88265,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2509687.713,2402043.1969999997,5,2,0,0,2,3,1,4,0,2,3,0,0,0,0,0,0,0,0,1,Yes,0,3,0,3,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Metro,-4217077.787686811,16153585.346399715
7,-37.69521706,145.0922991,1008,T20100030410,ABS to receive accident,Finished,30-07-2010,12.10.00,No,Collision with vehicle,Friday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,80,No,222100,145.0923,-37.69522,Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2508139.653,2422847.794,3,1,0,0,1,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,No,1,3,0,3,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,BANYULE,METROPOLITAN NORTH WEST REGION,M,M,Freeway,"Freeway,Arterial Highway",Undivided,Undivided,Metro,-4196212.368461118,16151600.853837343
8,-36.32748165,145.6898261,1009,T20100030421,ABS to receive accident,Finished,31-07-2010,14.40.00,Yes,Collision with vehicle,Saturday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),No,Day,Yes,Cross intersection,Serious injury accident,60,No,17605,145.68983,-36.32748,Intersection,SHEPPARTON,NORTH EASTERN REGION,2561933.431,2574396.286,3,2,0,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,No,0,3,0,0,0,0,Country,Country,SHEPPARTON,NORTH EASTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Country,-4043956.75907999,16218117.255212579
9,-37.924845399999995,145.08913930000003,1010,T20100030423,ABS to receive accident,Finished,30-07-2010,13.50.00,No,Collision with vehicle,Friday,RIGHT REAR.,No,Day,No,T intersection,Other injury accident,60,No,29682,145.08914,-37.92485,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2507837.137,2397362.276,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Metropolitan Excluding CBD,Metropolitan Excluding CBD,"MONASH,KINGSTON",METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undivided,Metro,-4221774.478341623,16151249.10651034
